month_index,month,year,month_num,row_type,zero_vs_missing_rule
26,2017-02,2017,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
27,2017-03,2017,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
28,2017-04,2017,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
29,2017-05,2017,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
30,2017-06,2017,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
31,2017-07,2017,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
32,2017-08,2017,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
33,2017-09,2017,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
34,2017-10,2017,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
35,2017-11,2017,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
36,2017-12,2017,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
37,2018-01,2018,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
38,2018-02,2018,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
39,2018-03,2018,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
40,2018-04,2018,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
41,2018-05,2018,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
42,2018-06,2018,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
43,2018-07,2018,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
44,2018-08,2018,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
45,2018-09,2018,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
46,2018-10,2018,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
47,2018-11,2018,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
48,2018-12,2018,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
49,2019-01,2019,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
50,2019-02,2019,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
51,2019-03,2019,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
52,2019-04,2019,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
53,2019-05,2019,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
54,2019-06,2019,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
55,2019-07,2019,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
56,2019-08,2019,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
57,2019-09,2019,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
58,2019-10,2019,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
59,2019-11,2019,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
60,2019-12,2019,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
61,2020-01,2020,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
62,2020-02,2020,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
63,2020-03,2020,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
64,2020-04,2020,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
65,2020-05,2020,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
66,2020-06,2020,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
67,2020-07,2020,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
68,2020-08,2020,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
69,2020-09,2020,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
70,2020-10,2020,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
71,2020-11,2020,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
72,2020-12,2020,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
73,2021-01,2021,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
74,2021-02,2021,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
75,2021-03,2021,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
76,2021-04,2021,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
77,2021-05,2021,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
78,2021-06,2021,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
79,2021-07,2021,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
80,2021-08,2021,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
81,2021-09,2021,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
82,2021-10,2021,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
83,2021-11,2021,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
84,2021-12,2021,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
85,2022-01,2022,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
86,2022-02,2022,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
87,2022-03,2022,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
88,2022-04,2022,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
89,2022-05,2022,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
90,2022-06,2022,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
91,2022-07,2022,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
92,2022-08,2022,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
93,2022-09,2022,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
94,2022-10,2022,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
95,2022-11,2022,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
96,2022-12,2022,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
97,2023-01,2023,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
98,2023-02,2023,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
99,2023-03,2023,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
100,2023-04,2023,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
101,2023-05,2023,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
102,2023-06,2023,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
103,2023-07,2023,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
104,2023-08,2023,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
105,2023-09,2023,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
106,2023-10,2023,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
107,2023-11,2023,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
108,2023-12,2023,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
109,2024-01,2024,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
110,2024-02,2024,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
111,2024-03,2024,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
112,2024-04,2024,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
113,2024-05,2024,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
114,2024-06,2024,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
115,2024-07,2024,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
116,2024-08,2024,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
117,2024-09,2024,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
118,2024-10,2024,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
119,2024-11,2024,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
120,2024-12,2024,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
121,2025-01,2025,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
122,2025-02,2025,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
123,2025-03,2025,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
124,2025-04,2025,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
125,2025-05,2025,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
126,2025-06,2025,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
127,2025-07,2025,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
128,2025-08,2025,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
129,2025-09,2025,9,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
130,2025-10,2025,10,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
131,2025-11,2025,11,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
132,2025-12,2025,12,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
133,2026-01,2026,1,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
134,2026-02,2026,2,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
135,2026-03,2026,3,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
136,2026-04,2026,4,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
137,2026-05,2026,5,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
138,2026-06,2026,6,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
139,2026-07,2026,7,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
140,2026-08,2026,8,OBSERVATION_MONTH,0 means verified no event for a defined event family only; blank/missing means not observed or not verified
