period,k_eta_regime,entry_health_regime,china_group_tour_context,k_content_exposure_event,tourism_policy_event
2017-06,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-07,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-08,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-09,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-10,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-11,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2017-12,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-01,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-02,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-03,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-04,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-05,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-06,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-07,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-08,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-09,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-10,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-11,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2018-12,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-01,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-02,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-03,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-04,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-05,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-06,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-07,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-08,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-09,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-10,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-11,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2019-12,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-01,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-02,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,기생충 아카데미 작품상 등 수상,
2020-03,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-04,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-05,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-06,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-07,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-08,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-09,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-10,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-11,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2020-12,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-01,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-02,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-03,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-04,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-05,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-06,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-07,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-08,도입 전,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-09,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,오징어 게임 시즌1 공개,
2021-10,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-11,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2021-12,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-01,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-02,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-03,본격 시행·코로나 상황 제한 적용,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-04,대상국 단계적 확대,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-05,대상국 단계적 확대,별도 코로나 입국정책 원장 참조,중국 단체관광 제한/중단 맥락,,
2022-06,대상국 단계적 확대,모든 해외입국자 격리 면제·입국전/후 검사 유지,중국 단체관광 제한/중단 맥락,,
2022-07,대상국 단계적 확대,모든 해외입국자 격리 면제·입국전/후 검사 유지,중국 단체관광 제한/중단 맥락,,
2022-08,대상국 단계적 확대,모든 해외입국자 격리 면제·입국전/후 검사 유지,중국 단체관광 제한/중단 맥락,,
2022-09,대상국 단계적 확대,입국전 음성확인서 면제·입국후 1일차 PCR 유지,중국 단체관광 제한/중단 맥락,,
2022-10,대상국 단계적 확대,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2022-11,112개 국가·지역 적용 가능 체계,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2022-12,112개 국가·지역 적용 가능 체계,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-01,112개 국가·지역 적용 가능 체계,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-02,112개 국가·지역 적용 가능 체계,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-03,112개 국가·지역 적용 가능 체계,입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-04,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-05,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-06,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-07,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 제한/중단 맥락,,
2023-08,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2023-09,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2023-10,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2023-11,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2023-12,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-01,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,2024 코리아그랜드세일
2024-02,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,2024 코리아그랜드세일
2024-03,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-04,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-05,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-06,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-07,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-08,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-09,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-10,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-11,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2024-12,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,오징어 게임 시즌2 공개,
2025-01,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,2025 코리아그랜드세일
2025-02,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,2025 코리아그랜드세일
2025-03,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-04,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-05,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-06,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,오징어 게임 시즌3 공개,
2025-07,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-08,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-09,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-10,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-11,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2025-12,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-01,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-02,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-03,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-04,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-05,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-06,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-07,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
2026-08,22개국 한시 면제 체계(연장 포함),입국전·입국후 코로나 검사 의무 해제,중국 단체관광 재개 이후,,
