canonical_dataset_id,canonical_name,owner,canonical_grain,legacy_file,legacy_id,alias_status,notes
KORC-ARRIVAL-AGE-001,Inbound foreign visitors by age,Korea Tourism Organization/public data portal,month x age group,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-003,COLLIDING_LEGACY_ALIAS,Distinct from raw-backbone KOR-003
KORC-ENTRY-GATE-001,Inbound entry gateway transport,Korea Tourism Organization/public data portal,month x airport/seaport,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-004,COLLIDING_LEGACY_ALIAS,Distinct from raw-backbone KOR-004
KORC-FTS-001,Foreign Tourist Survey,Korea Culture and Tourism Institute/Korea Tourism Data Lab,respondent x year,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-005,COLLIDING_LEGACY_ALIAS,Same canonical survey as raw-backbone KOR-003
KORC-REGION-DIVERSITY-001,Regional tourism diversity,Korea Tourism Organization,region x diversity indicator,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-006,COLLIDING_LEGACY_ALIAS,Do not join to navigation by KOR-006
KORC-REGION-DEMAND-001,Regional tourism demand intensity,Korea Tourism Organization,region x stay/spend intensity,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-007,COLLIDING_LEGACY_ALIAS,Do not join to complaints by KOR-007
KORC-TOURAPI-001,TourAPI tourism content,Korea Tourism Organization,content x region x category,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-008,COLLIDING_LEGACY_ALIAS,Content entity != licensed/operating business
KORC-ACCOM-REG-001,Tourism accommodation facilities and rooms,Ministry of Culture Sports and Tourism,period x region x type/grade,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-009,COLLIDING_LEGACY_ALIAS,Registered rooms != sellable rooms
KORC-MOBILE-001,Mobile-based visit stay,Korea Tourism Data Lab,period x region x public attributes,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-010,VALID_ALIAS,Canonical mobile sensor
KORC-CARD-001,Foreign card tourism consumption,Korea Tourism Data Lab,period x region x industry x country,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-011,VALID_ALIAS,Canonical card sensor; observed card spend != total tourism spend
KORC-NAV-001,Navigation search,Korea Tourism Data Lab,period x region x target,04_DATA/PUBLIC_MAX/KOREA_OFFICIAL_SOURCE_COVERAGE_MATRIX_V2.csv,KOR-012,VALID_ALIAS,Search/navigation intent != visit
